Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,Revenue_Million_USD
2017,8,North America,Model S,11311,12214,58077.62,60,348,590.43,Estimated (Region),4406,656.9159598
2018,8,Asia,Cybertruck,6880,7303,64678.32,120,718,740.98,Interpolated (Month),10747,444.9868416
2024,12,Asia,Model S,10239,11592,94708.94,120,683,1048.99,Estimated (Region),8109,969.7248367
2022,10,Middle East,Model 3,8455,9204,85264.14,60,349,442.62,Estimated (Region),14674,720.9083037
2020,9,Europe,Model 3,6496,6966,112078.21,75,426,415.09,Interpolated (Month),11996,728.0600522
2017,1,North America,Model S,6113,6850,69513.19,60,336,308.1,Estimated (Region),14489,424.9341305
2021,10,Middle East,Model X,11128,11881,78561.41,60,350,584.22,Official (Quarter),5998,874.2313705
2016,1,Asia,Cybertruck,8067,8485,75972.71,75,449,543.31,Interpolated (Month),3481,612.8718516
2016,10,North America,Model S,6258,7036,69706.48,60,356,334.18,Official (Quarter),4350,436.2231518
2023,12,Asia,Model S,5649,6211,64983.67,120,685,580.43,Estimated (Region),5372,367.0927518
2015,12,Asia,Model Y,5719,6486,66096.82,82,459,393.75,Official (Quarter),3373,378.0077136
2016,10,North America,Model X,9922,10370,91885.02,120,677,1007.58,Official (Quarter),6599,911.6831684
2021,2,Asia,Cybertruck,7648,8340,61475.22,60,352,403.81,Interpolated (Month),6614,470.1624826
2022,9,Middle East,Model Y,6952,7464,103792.75,82,460,479.69,Estimated (Region),6233,721.567198
2024,7,Europe,Model 3,1492,1661,88072.56,75,445,99.59,Interpolated (Month),9522,131.4042595
2020,10,Middle East,Cybertruck,18392,19806,68744.2,120,687,1895.3,Interpolated (Month),8649,1264.343326
2017,5,Europe,Model X,8451,9514,50799.26,82,479,607.2,Interpolated (Month),14643,429.3045463
2020,9,North America,Model 3,11467,13072,100397.17,120,705,1212.64,Official (Quarter),5628,1151.254348
2019,8,North America,Model S,11480,11915,54709.92,82,461,793.84,Interpolated (Month),13946,628.0698816
2019,9,Europe,Model S,9082,9942,88005.83,100,556,757.44,Estimated (Region),7509,799.2689481
2023,1,Europe,Model Y,14836,16172,97728.31,75,449,999.2,Interpolated (Month),5788,1449.897207
2024,3,North America,Model X,8283,8391,70066.15,75,441,547.92,Interpolated (Month),4819,580.3579204
2015,12,North America,Model 3,10586,11907,85522.74,120,660,1048.01,Interpolated (Month),6444,905.3437256
2020,8,Europe,Cybertruck,10062,10568,103557.46,82,468,706.35,Estimated (Region),8810,1041.995163
2021,11,Middle East,Model S,11748,13383,107986.47,120,679,1196.53,Official (Quarter),5847,1268.62505
2023,1,Middle East,Model X,6197,6673,66969.32,82,458,425.73,Official (Quarter),3778,415.008876
2023,11,North America,Model X,5365,6034,71688.78,60,358,288.1,Interpolated (Month),5155,384.6103047
2025,8,Asia,Model S,11848,12443,104498.21,120,711,1263.59,Estimated (Region),8227,1238.094792
2022,6,North America,Model Y,10312,11133,106390.66,82,483,747.1,Estimated (Region),9976,1097.100486
2016,3,Middle East,Model Y,5249,5829,110395.8,120,673,529.89,Estimated (Region),4148,579.4675542
2025,12,Europe,Model 3,16501,18884,108207.45,100,573,1418.26,Interpolated (Month),11849,1785.531132
2019,3,Middle East,Model Y,13191,14990,50432.87,120,708,1400.88,Official (Quarter),14380,665.2599882
2021,3,Europe,Model 3,6907,6946,58613.65,100,599,620.59,Official (Quarter),6782,404.8444806
2021,4,Europe,Model 3,11164,11825,84455.13,120,712,1192.32,Official (Quarter),7954,942.8570713
2020,2,Europe,Model Y,13825,15834,83894.92,120,663,1374.9,Official (Quarter),9620,1159.847269
2020,5,Asia,Model S,5784,6156,70108.04,100,586,508.41,Estimated (Region),8440,405.5049034
2019,6,North America,Model 3,12341,12850,94737.55,120,680,1258.78,Official (Quarter),14972,1169.156105
2021,10,Europe,Model Y,12459,12777,112819.33,75,437,816.69,Official (Quarter),13582,1405.616032
2016,10,Asia,Model Y,12205,12670,75329.72,75,430,787.22,Official (Quarter),3547,919.3992326
2020,3,Asia,Model Y,10062,11450,68947.85,82,466,703.33,Official (Quarter),9827,693.7532667
2020,2,North America,Model 3,11404,11966,72021.13,100,575,983.59,Interpolated (Month),14288,821.3289665
2025,6,Asia,Model 3,9808,10413,100126.43,120,666,979.82,Estimated (Region),6245,982.0400254
2019,9,Middle East,Model X,8123,8610,116300.71,100,570,694.52,Interpolated (Month),12262,944.7106673
2016,12,North America,Model S,9646,9877,51634.65,120,705,1020.06,Interpolated (Month),8502,498.0678339
2025,10,Asia,Model X,5013,5164,54937.4,75,441,331.61,Official (Quarter),5996,275.4011862
2021,8,Asia,Model 3,10980,11716,105290.52,75,435,716.44,Official (Quarter),4357,1156.08991
2022,11,Middle East,Model Y,21296,23581,57673.97,60,352,1124.43,Estimated (Region),4630,1228.224865
2018,5,Middle East,Cybertruck,7086,8012,90388.71,120,680,722.77,Official (Quarter),12636,640.4943991
2016,4,Middle East,Model Y,12146,12776,118292.71,120,698,1271.69,Official (Quarter),12869,1436.783256
2019,2,Middle East,Cybertruck,17194,18978,96293.99,75,413,1065.17,Interpolated (Month),7419,1655.678864
2023,1,North America,Model 3,18636,20752,65890.09,82,460,1285.88,Official (Quarter),4937,1227.927717
2023,5,North America,Model Y,14130,16020,52154.82,75,440,932.58,Official (Quarter),12105,736.9476066
2020,2,Europe,Cybertruck,19298,21732,119779.45,100,571,1652.87,Interpolated (Month),6843,2311.503826
2019,6,Middle East,Model S,6954,7148,63176.25,100,559,583.09,Estimated (Region),3684,439.3276425
2021,7,Europe,Model S,1889,1946,81630.83,120,707,200.33,Estimated (Region),10085,154.2006379
2019,7,Middle East,Cybertruck,13064,14557,115532.36,100,597,1169.88,Interpolated (Month),5097,1509.314751
2023,12,Middle East,Cybertruck,8570,9786,60142.91,75,419,538.62,Estimated (Region),13352,515.4247387
2015,3,North America,Model Y,11364,12347,84476.24,75,419,714.23,Official (Quarter),11669,959.9879914
2020,1,Asia,Model S,16393,16411,86274.4,75,413,1015.55,Interpolated (Month),9830,1414.296239
2015,9,Asia,Model Y,14196,15525,78658.82,120,693,1475.67,Estimated (Region),8233,1116.640609
2023,6,Asia,Model S,7800,7816,104026.38,82,486,568.62,Interpolated (Month),10369,811.405764
2018,5,Middle East,Model X,10524,11157,73665.91,120,667,1052.93,Official (Quarter),7700,775.2600368
2020,4,North America,Model 3,7971,8106,78445.65,82,470,561.96,Estimated (Region),9489,625.2902762
2015,10,Asia,Cybertruck,5675,6461,117974.08,120,716,609.49,Estimated (Region),8690,669.502904
2015,9,Middle East,Model S,9613,10902,105989.87,75,428,617.15,Official (Quarter),3269,1018.88062
2017,9,Middle East,Model S,15315,16609,93722.98,120,711,1633.34,Official (Quarter),10043,1435.367439
2021,12,Asia,Cybertruck,10989,12120,108894.97,120,684,1127.47,Interpolated (Month),12214,1196.646825
2024,11,Europe,Model X,6741,7454,97614.94,75,423,427.72,Interpolated (Month),6963,658.0223105
2019,3,Asia,Model 3,7660,8197,92412.78,75,428,491.77,Official (Quarter),3325,707.8818948
2018,7,Middle East,Model X,6750,7014,98646.72,75,433,438.41,Interpolated (Month),12554,665.86536
2024,8,Middle East,Model 3,4293,4899,91215.62,100,565,363.83,Official (Quarter),8396,391.5886567
2022,3,Middle East,Cybertruck,10627,11394,93214.8,75,427,680.66,Official (Quarter),5380,990.5936796
2018,12,North America,Model 3,10972,12196,114344.56,100,571,939.75,Estimated (Region),7105,1254.588512
2021,7,Middle East,Model 3,8642,8738,85727.49,60,359,465.37,Official (Quarter),11318,740.8569686
2023,11,Europe,Model X,11323,12413,52155.06,120,703,1194.01,Interpolated (Month),13865,590.5517444
2022,11,Europe,Cybertruck,8918,9081,64841.95,60,330,441.44,Interpolated (Month),8207,578.2605101
2025,10,Asia,Model S,13514,14567,97725.78,60,343,695.3,Estimated (Region),5900,1320.666191
2016,7,Europe,Model X,14833,15941,55394.08,82,453,1007.9,Interpolated (Month),7010,821.6603886
2018,2,Europe,Model Y,2728,2744,69039.9,60,330,135.04,Interpolated (Month),14740,188.3408472
2017,12,Europe,Model X,12980,14796,68584.75,82,476,926.77,Official (Quarter),11141,890.230055
2019,4,Middle East,Model 3,14637,15970,56200.48,120,700,1536.88,Estimated (Region),3769,822.6064258
2017,1,Middle East,Model S,2923,3251,72231.08,120,660,289.38,Estimated (Region),9133,211.1314468
2020,12,Europe,Cybertruck,2506,2586,96812.73,82,473,177.8,Estimated (Region),12994,242.6127014
2016,8,Asia,Model Y,6803,7012,111448.11,75,445,454.1,Estimated (Region),13446,758.1814923
2020,7,Middle East,Model Y,9358,9414,118902.54,120,683,958.73,Interpolated (Month),4826,1112.689969
2015,9,Asia,Model S,12372,12396,55985.6,100,560,1039.25,Interpolated (Month),3318,692.6538432
2016,9,North America,Model X,10096,11560,79243.27,100,599,907.13,Official (Quarter),11015,800.0400539
2018,8,Middle East,Cybertruck,13056,14836,75916.25,82,481,941.99,Interpolated (Month),13763,991.16256
2021,10,Asia,Model X,7975,8297,103789.47,82,487,582.57,Estimated (Region),5658,827.7210233
2021,10,North America,Model S,14764,15765,79707.23,100,557,1233.53,Interpolated (Month),8116,1176.797544
2015,10,Europe,Model Y,12831,14369,98628.75,60,338,650.53,Official (Quarter),10082,1265.505491
2025,2,Middle East,Model X,8905,9306,95963.54,100,595,794.77,Official (Quarter),7807,854.5553237
2015,10,Middle East,Model 3,10384,10742,58439.68,120,664,1034.25,Official (Quarter),11355,606.8376371
2020,8,North America,Cybertruck,5817,6517,67287.58,60,356,310.63,Interpolated (Month),13929,391.4118529
2018,11,Asia,Model 3,7160,7549,107679.84,60,336,360.86,Official (Quarter),8628,770.9876544
2021,9,Asia,Model Y,9140,10036,116935.48,100,550,754.05,Interpolated (Month),5975,1068.790287
2025,1,Europe,Model Y,13291,14566,62104.57,100,584,1164.29,Official (Quarter),8126,825.4318399
2025,3,Middle East,Model 3,15264,16486,73693.64,120,699,1600.43,Interpolated (Month),11612,1124.859721
2016,5,North America,Model 3,12231,12905,54772.06,100,551,1010.89,Estimated (Region),4621,669.9170659
2015,12,Middle East,Cybertruck,17203,17897,105829.14,100,565,1457.95,Interpolated (Month),8462,1820.578695
2021,3,Europe,Model X,6517,6629,57489.39,75,439,429.14,Official (Quarter),13254,374.6583546
2016,12,North America,Model 3,8519,8888,113005.82,60,333,425.52,Interpolated (Month),14471,962.6965806
2022,5,Middle East,Cybertruck,17889,19907,110473.23,75,436,1169.94,Estimated (Region),13275,1976.255611
2017,5,Asia,Model X,14239,14773,93741.19,60,347,741.14,Official (Quarter),12993,1334.780804
2019,8,Asia,Cybertruck,8619,8892,101522.48,75,424,548.17,Official (Quarter),9072,875.0222551
2022,12,Europe,Model X,13132,14123,50985.58,100,550,1083.39,Estimated (Region),5881,669.5426366
2024,8,Asia,Model S,15865,17167,66182.31,60,340,809.11,Estimated (Region),10368,1049.982348
2023,11,Asia,Cybertruck,8624,9706,67412.03,60,342,442.41,Official (Quarter),11015,581.3613467
2022,3,Middle East,Model S,18486,21086,110350.71,100,594,1647.1,Estimated (Region),8614,2039.943225
2023,8,Europe,Model X,11623,11690,102745.27,60,345,601.49,Interpolated (Month),7423,1194.208273
2018,3,Europe,Model S,8500,9229,106380.26,75,441,562.27,Interpolated (Month),4846,904.23221
2020,5,Europe,Model S,10841,12455,78552.6,60,338,549.64,Estimated (Region),9694,851.5887366
2021,3,Asia,Model 3,7552,8187,56653.96,75,420,475.78,Official (Quarter),7961,427.8507059
2017,11,North America,Model S,9677,10121,107566.68,75,414,600.94,Interpolated (Month),8023,1040.922762
2019,7,Europe,Model Y,6164,6686,67662.59,60,357,330.08,Estimated (Region),6188,417.0722048
2015,9,Europe,Model Y,5111,5187,67022.05,75,439,336.56,Interpolated (Month),13268,342.5496976
2019,10,Europe,Cybertruck,5655,6381,56946.64,60,332,281.62,Interpolated (Month),6152,322.0332492
2023,12,Asia,Cybertruck,11905,12981,90535.08,100,561,1001.81,Official (Quarter),3560,1077.820127
2022,2,Middle East,Model X,8449,9164,58017.3,120,719,911.22,Estimated (Region),8106,490.1881677
2020,4,Europe,Cybertruck,4068,4417,80929.76,75,425,259.33,Interpolated (Month),11957,329.2222637
2018,6,Asia,Model 3,15384,15892,93795.56,60,347,800.74,Official (Quarter),5218,1442.950895
2019,5,Europe,Model X,13602,14061,96362.25,75,435,887.53,Interpolated (Month),13981,1310.719325
2018,5,North America,Model X,17044,18626,63064.8,120,661,1689.91,Estimated (Region),6414,1074.876451
2024,10,Europe,Cybertruck,11346,11431,77762.62,60,341,580.35,Official (Quarter),6417,882.2946865
2025,2,Europe,Model Y,1589,1658,62204.97,100,589,140.39,Official (Quarter),14464,98.84369733
2019,2,Asia,Model S,9546,10021,99056.59,60,352,504.03,Estimated (Region),14152,945.5942081
2023,11,North America,Cybertruck,11986,12577,87376.96,60,331,595.1,Estimated (Region),5504,1047.300243
2016,12,North America,Model Y,8664,9913,77263.73,120,683,887.63,Interpolated (Month),7084,669.4129567
2023,2,Asia,Cybertruck,14614,16080,115963.41,60,354,776,Estimated (Region),3503,1694.689274
2021,4,Asia,Model X,8454,8914,94870.42,82,487,617.56,Interpolated (Month),4967,802.0345307
2018,12,North America,Model X,9743,10457,74615.49,100,595,869.56,Estimated (Region),9827,726.9787191
2016,10,Middle East,Cybertruck,6815,7829,59204.24,60,338,345.52,Estimated (Region),7734,403.4768956
2019,6,Asia,Model 3,8068,8161,96953.55,75,443,536.12,Estimated (Region),5935,782.2212414
2019,1,Europe,Cybertruck,8718,9352,55978.21,75,448,585.85,Estimated (Region),9216,488.0180348
2024,6,Europe,Model Y,3651,4028,89589.5,120,664,363.64,Official (Quarter),4951,327.0912645
2022,10,Europe,Model 3,20841,23735,95174.19,60,342,1069.14,Official (Quarter),14164,1983.525294
2015,5,Asia,Model Y,7896,8722,87526.75,100,565,669.19,Interpolated (Month),12765,691.111218
2024,10,Europe,Model Y,5697,6406,74881.46,100,564,481.97,Official (Quarter),13090,426.5996776
2018,8,North America,Model 3,9870,10128,83015.46,100,554,820.2,Interpolated (Month),10508,819.3625902
2021,5,North America,Cybertruck,2210,2460,68015.58,100,584,193.6,Interpolated (Month),3476,150.3144318
2021,10,North America,Cybertruck,14193,15440,97193.45,75,442,941,Estimated (Region),10909,1379.466636
2020,12,North America,Model 3,15569,16988,78329.41,100,561,1310.13,Estimated (Region),6085,1219.510584
2015,7,Asia,Cybertruck,113,118,115067.04,120,709,12.02,Interpolated (Month),14580,13.00257552
2018,8,Europe,Model 3,18499,19682,93079.45,82,454,1259.78,Estimated (Region),4053,1721.876746
2021,1,North America,Cybertruck,6006,6007,58411.15,75,432,389.19,Interpolated (Month),11101,350.8173669
2019,7,Middle East,Model Y,9124,9987,80109.99,120,686,938.86,Interpolated (Month),6724,730.9235488
2022,3,Europe,Model Y,14670,15394,59676.25,82,467,1027.63,Interpolated (Month),14758,875.4505875
2025,8,Europe,Model S,1129,1160,108825.31,60,333,56.39,Estimated (Region),5579,122.863775
2022,8,Asia,Model X,11585,12840,63331.99,120,686,1192.1,Estimated (Region),3858,733.7011042
2020,4,Middle East,Model Y,10318,11341,113229.15,82,455,704.2,Official (Quarter),5784,1168.29837
2025,4,Middle East,Model Y,10058,11457,78513.44,75,449,677.41,Estimated (Region),9950,789.6881795
2021,4,North America,Model 3,16328,17674,112147.23,120,666,1631.17,Official (Quarter),12871,1831.139971
2023,3,Europe,Model Y,11869,12314,79193.41,120,681,1212.42,Official (Quarter),13305,939.9465833
2022,2,Asia,Model Y,13461,14069,90476.09,60,344,694.59,Official (Quarter),9954,1217.898647
2021,9,Middle East,Model 3,10064,10320,72127.34,75,428,646.11,Official (Quarter),6711,725.8895498
2024,6,North America,Model 3,5897,6006,84944.81,100,566,500.66,Estimated (Region),6549,500.9195446
2021,11,North America,Cybertruck,6204,6702,81440.37,100,572,532.3,Official (Quarter),4093,505.2560555
2015,9,Middle East,Model Y,10783,11226,88792.46,82,477,771.52,Estimated (Region),12956,957.4490962
2022,7,Middle East,Model X,8386,8428,91520.92,75,419,527.06,Official (Quarter),7151,767.4944351
2016,11,Middle East,Model X,15582,17164,92404.55,120,681,1591.7,Estimated (Region),5614,1439.847698
2016,6,Asia,Cybertruck,7885,8483,108849.21,82,481,568.9,Estimated (Region),9506,858.2760209
2017,5,North America,Cybertruck,7766,8156,118496.78,60,355,413.54,Estimated (Region),11414,920.2459935
2021,8,Asia,Model X,9136,9679,102048.1,82,474,649.57,Estimated (Region),7657,932.3114416
2022,12,North America,Model X,10666,11185,70537.28,120,662,1059.13,Official (Quarter),12789,752.3506285
2021,6,North America,Cybertruck,3639,4038,66952.84,75,418,228.17,Estimated (Region),9358,243.6413848
2019,3,North America,Model S,9776,10512,113695.11,82,480,703.87,Interpolated (Month),9984,1111.483395
2022,7,North America,Model Y,16921,18220,75209.95,75,429,1088.87,Estimated (Region),11278,1272.627564
2021,7,Europe,Cybertruck,5159,5872,118495.42,100,550,425.62,Interpolated (Month),10472,611.3178718
2019,6,Middle East,Model Y,14754,16395,97266.16,82,459,1015.81,Estimated (Region),7229,1435.064925
2016,10,Middle East,Model 3,8763,9817,90043.41,75,431,566.53,Estimated (Region),6521,789.0504018
2021,7,North America,Model S,5168,5266,54097.56,82,463,358.92,Estimated (Region),4891,279.5761901
2015,11,Asia,Model S,15682,17319,60772.71,82,484,1138.51,Interpolated (Month),5693,953.0376382
2024,5,North America,Model Y,13749,14635,94909.92,100,590,1216.79,Official (Quarter),3067,1304.91649
2024,11,Asia,Model 3,12742,14279,64495.94,120,680,1299.68,Estimated (Region),4610,821.8072675
2022,1,Asia,Model S,7476,7781,108224.97,60,359,402.58,Estimated (Region),8926,809.0898757
2016,3,Europe,Cybertruck,9749,10459,67974.36,82,462,675.61,Interpolated (Month),6687,662.6820356
2023,11,Europe,Model 3,10577,12068,88815.88,100,580,920.2,Official (Quarter),14723,939.4055628
2018,8,Europe,Cybertruck,8415,9592,51409.65,75,418,527.62,Official (Quarter),13634,432.6122048
2025,12,North America,Cybertruck,9701,10572,66908,82,471,685.38,Official (Quarter),3889,649.074508
2017,2,Europe,Model 3,12488,13372,111610.97,75,420,786.74,Official (Quarter),11133,1393.797793
2022,10,Europe,Cybertruck,11173,11362,107979.15,82,461,772.61,Estimated (Region),12327,1206.451043
2019,12,Europe,Model S,5122,5430,74549.69,75,441,338.82,Interpolated (Month),12638,381.8435122
2022,4,Asia,Model S,12876,14702,81005.6,60,347,670.2,Official (Quarter),8716,1043.028106
2016,3,North America,Model X,6034,6249,76127.63,60,336,304.11,Estimated (Region),3878,459.3541194
2016,1,Europe,Model 3,10238,11326,110967.84,75,439,674.17,Estimated (Region),12620,1136.088746
2023,10,North America,Model Y,12266,12573,100235.19,82,481,884.99,Official (Quarter),4067,1229.484841
2019,6,Asia,Model Y,8909,9045,113778.44,82,484,646.79,Official (Quarter),12120,1013.652122
2022,7,North America,Model S,8707,9829,67937.84,82,466,608.62,Estimated (Region),13455,591.5347729
2022,10,Asia,Model S,10216,11129,82227.03,120,681,1043.56,Official (Quarter),7236,840.0313385
2023,12,North America,Cybertruck,12121,13346,64312.67,60,357,649.08,Interpolated (Month),6173,779.5338731
2022,4,Europe,Model Y,14226,15780,50003.7,75,448,955.99,Estimated (Region),12770,711.3526362
2022,10,Middle East,Model Y,10455,10975,60845.92,100,592,928.4,Estimated (Region),9259,636.1440936
2023,10,Asia,Cybertruck,9742,10574,111362.37,75,447,653.2,Interpolated (Month),9345,1084.892209
2025,4,Europe,Model 3,12743,14549,50429.01,82,470,898.38,Interpolated (Month),3295,642.6168744
2017,12,Middle East,Cybertruck,5773,6233,70156.17,75,430,372.36,Interpolated (Month),6599,405.0115694
2024,6,Middle East,Cybertruck,8995,9523,91249.02,82,462,623.35,Estimated (Region),5102,820.7849349
2019,7,Asia,Model S,12631,13913,71111.08,60,335,634.71,Official (Quarter),6644,898.2040515
2019,7,Asia,Model 3,9721,9856,60070.76,82,455,663.46,Estimated (Region),8075,583.947858
2015,6,North America,Cybertruck,12581,13909,64907.49,100,556,1049.26,Estimated (Region),3174,816.6011317
2022,3,Middle East,Model 3,12989,13754,117323.37,75,428,833.89,Interpolated (Month),10212,1523.913253
2019,1,North America,Cybertruck,15450,16585,87005.96,120,680,1575.9,Interpolated (Month),9231,1344.242082
2021,7,Europe,Model X,6373,7051,97413.93,82,452,432.09,Estimated (Region),7940,620.8189759
